Auction Close Date,Year,Make,Model,VIN #
11/16/2020,2008,GMC,Yukon Hybrid,1GKFK13588R240426
11/16/2020,2007,Chevrolet,Impala,2G1WS58R679417605
11/16/2020,2011,Chevrolet,Express,1GAWGPFG0B1165099
11/16/2020,2007,Ford,Escape Hybrid,1FMYU59H27KC08839
11/16/2020,2015,Ford,Escape,1FMCU9GX7FUC65584
11/16/2020,2017,Ford,F150,1FTMF1EF2HKD76749
11/16/2020,2008,Chevrolet,Impala,2G1WS583681321999
11/16/2020,2009,Dodge,Charger,2B3LA43TX9H571853
11/16/2020,2010,Ford,Crown Victoria,2FABP7BV5AX135845
11/16/2020,2013,Ford,Taurus,1FAHP2D80DG191562
11/16/2020,2012,Mack,Leu613,1M2AU02C2CM006262
11/16/2020,2010,Ford,E350,1FBSS3BLXADA85360
11/16/2020,2003,Piaggio,Bv200,ZAPM289L635001828
11/16/2020,2005,Yale,Gdp040050Rg,A875B33559C
11/16/2020,2015,Ford,F450,1FDUF4HYXFEB45409
11/16/2020,2013,GMC,Sierra,1GT120E83DF232107
11/16/2020,2008,Toyota,Prius,JTDKB20U883418074
11/16/2020,2010,Toyota,Prius,JTDKN3DU7A5158400
11/16/2020,2008,Ford,F350,1FTWF31538EE02680
11/16/2020,2016,John Deere,Xuv825I S4,1M0825GFTGM110519
11/16/2020,2016,Toyota,Rav4 Hybrid,JTMRJREV9GD032557
11/16/2020,2005,Yale,Erc0804G,A839N02708C
11/19/2020,2002,Sterling,Acterra,2FZAAJAKX2AK95710
11/19/2020,2002,Sterling,Acterra,2FZAAJAK12AK95711
11/19/2020,2009,Doosan,Dl200,DHKCWLAET80005039
11/19/2020,1,Container,Box,3112
11/19/2020,2008,Ford,F350,1FTWF31538EE02677
11/19/2020,2015,Mack,Gu813,1M2AX18C7FM029268
11/19/2020,2010,Toyota,Prius,JTDKN3DU8A5152296
11/19/2020,2015,Mack,MRU613,1M2AV02C3FM012900
11/19/2020,1980,Eidal,Semi-Trailer,79210052
11/19/2020,2012,Ford,Fusion Hybrid,3FADP0L3XCR179211
11/19/2020,1,Container,Box 30Yd,08151-2
11/19/2020,2010,Ford,Taurus,1FAHP2DW7AG169181
11/19/2020,2010,Wells,Tw101,1WC200D16A8016232
11/19/2020,2006,Ford,Escape Hybrid,1FMYU96H56KC95808
11/19/2020,2002,GMC,C7500,1GDP7H1C72J500666
11/19/2020,2013,Ford,Escape,1FMCU9G99DUC16823
11/19/2020,2017,Ford,Taurus NGPI,1FAHP2MK2HG133678
11/19/2020,2014,Global,4000,1G9GM4LL2FS462031
11/19/2020,2004,Case,70Xt,JAF402285
11/19/2020,1,American Signal,Signal,1A9BS331552228309
11/19/2020,2005,American Signal,Signal,S331352228308
11/19/2020,2010,Dodge,Charger,2B3CA4CT4AH203379
11/19/2020,2008,Ford,F550 S/D,1FDAF56R58ED98712
11/19/2020,2014,Global,4000,1G9GM4LL5FS462007
11/19/2020,2009,GMC,Sierra,1GTHK53609F181069
11/19/2020,2002,Mack,Rd688P,1M2P266CX2M060808
11/19/2020,2002,Toyota,Prius,JT2BK12U720056425
11/19/2020,2007,Toyota,Prius,JTDKB20U677649286
11/19/2020,2008,Toyota,Prius,JTDKB20U287789904
11/19/2020,1,Traffic Safety Message Board,Board,NONE-Message Board
11/19/2020,1,Wanco Message Board,Board,5F12S151911001040
11/19/2020,2003,Wanco Message Board,Board,5F12S151831001128
11/19/2020,2005,Yale,Gdp040050Rg,A875B33493C
11/19/2020,2008,Sterling,Acterra,2FZACGBS08AZ45701
11/19/2020,2007,Dodge,Grand Caravan,1D4GP21E87B228667
11/19/2020,2009,Ford,Escape Hybrid,1FMCU59379KC38291
11/19/2020,2009,Ford,F250,1FTSW21509EB05618
11/19/2020,2015,Ford,F450,1FD0X4GT1FEA15455
11/19/2020,2015,Ford,F450,1FD0X4GT6FEA24524
11/19/2020,2011,Ford,Fusion Hybrid,3FADP0L31BR344139
11/19/2020,2012,Ford,Fusion Hybrid,3FADP0L31CR238971
11/19/2020,2008,Ford,Ranger,1FTYR15E88PA85109
11/19/2020,2006,Ford,Taurus,1FAFP53U96A237287
11/19/2020,2007,Honda,Civic GX,1HGFA465X7L000471
11/19/2020,2007,Navistar,4300,1HTMNAAL17H478623
11/19/2020,2009,Nissan,Altima Hybrid,1N4CL21E39C163804
11/19/2020,2007,Toyota,Prius,JTDKB20U877623241
11/19/2020,2008,Toyota,Prius,JTDKB20U887780995
11/19/2020,2008,Toyota,Prius,JTDKB20U287789675
11/19/2020,2008,Toyota,Prius,JTDKB20U483415561
11/19/2020,2016,Chevrolet,Express,1GAZGNFF3G1318493
11/19/2020,2016,Chevrolet,Express,1GAZGNFF2G1323801
11/19/2020,2008,Ford,E350,1FBNE31L18DB23820
11/19/2020,2007,Ford,Escape Hybrid,1FMYU59HX7KA15497
11/19/2020,2013,Ford,F450,1FD0X4GT3DEB80324
11/19/2020,1994,Ford,F700/7000,1FDPK74C5RVA25056
11/19/2020,2007,Navistar,4300,1HTMNAAL77H478657
11/19/2020,2013,Ford,Fusion Hybrid,3FA6P0LU4DR171155
11/19/2020,2010,Ic Corp,Pc105,4DRAMAAN3AA175133
11/19/2020,2007,Toyota,Prius,JTDKB20UX77624357
11/19/2020,2009,Ic Corp,Pc105,4DRAMAAN29A038440
